area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Crimson Layout,2,ARntyne,1230,2,2,57
Plot  Area,Ready To Move,Manjunath Nagar,5,,1200,5,1,185
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Aaubyya,1125,2,1,52
Super built-up  Area,Ready To Move,Hebbal,2,,1100,2,1,54
Plot  Area,18-Aug,Jigani,3,Prllasw,2400,3,2,149
Super built-up  Area,18-Jul,Electronic City Phase II,3,Sryalan,1400,2,2,41.58
Plot  Area,Ready To Move,Uttarahalli,7,,1200,7,2,225
Super built-up  Area,Ready To Move,Jakkur,3,Ceezey ,1858,3,1,98.3
Plot  Area,Ready To Move,Adityanagar,1,,1260,1,1,41
Built-up  Area,Ready To Move,Ambedkar Nagar,4,SoechHa,3530,4,2,290
Super built-up  Area,Ready To Move,HSR Layout,2,,1185,2,2,60
Plot  Area,Ready To Move,RMV 2nd Stage,2,,1200,2,1,216
Super built-up  Area,Ready To Move,Hennur,2,,1255,2,1,58
Super built-up  Area,Ready To Move,Rajaji Nagar,4,,3436,6,3,475
Built-up  Area,Ready To Move,Kudlu Gate,3,Brlms P,1335,3,2,89
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,,1999,3,2,132
Plot  Area,Ready To Move,Kanaka Nagar,2,,1200,2,1,125
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1397,3,2,110
Plot  Area,Ready To Move,Jigani,10,Mae 2ra,1200,10,,105
Super built-up  Area,Ready To Move,Cooke Town,4,,3950,4,,450
Plot  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,1200,2,1,130
Plot  Area,Ready To Move,Chikka Tirupathi,3,,1616,3,0,95
Plot  Area,Ready To Move,Banashankari Stage III,8,,1200,7,2,350
Built-up  Area,Ready To Move,Hanumantha Nagar,4,,1270,2,1,175
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,2,38.55
Super built-up  Area,21-Jan,Kanakpura Road,1,PrarePa,525,1,1,30
Plot  Area,Ready To Move,Varthur,3,,1200,2,1,98
Built-up  Area,Ready To Move,Bagalakunte,1,,700,1,1,162
Super built-up  Area,18-Jul,Balagere,2,Soresea,1205.47,2,1,81
Plot  Area,Ready To Move,T Dasarahalli,3,,1200,3,2,130
Super built-up  Area,Ready To Move,Electronic City,3,Naireru,1700,3,2,75
Plot  Area,Ready To Move,Thanisandra,5,,750,4,0,62
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1090,2,1,54.54
Super built-up  Area,Ready To Move,Yeshwanthpur,4,IBityin,3600,5,,220
Built-up  Area,Ready To Move,Kundalahalli,1,,2400,1,0,650
Super built-up  Area,19-Mar,Thanisandra,1,Bhe 2ko,923,1,1,60.84
Super built-up  Area,18-May,Muthurayya Swamy Layout,4,MacleK ,3595,6,2,360
Super built-up  Area,Ready To Move,Green Glen Layout,2,GaentAp,1050,2,2,48
Super built-up  Area,Ready To Move,Whitefield,2,UKe 2nz,1495,2,2,79.5
Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1482 - 1846,,,93.865
Built-up  Area,Ready To Move,Narayanapura,3,,1485,3,2,85
Super built-up  Area,19-Dec,Dommasandra,3,,1033,2,2,31.5
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1400,2,1,48
Built-up  Area,Ready To Move,Indira Nagar,1,,500,1,0,70
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ascid P,944,2,1,35
Built-up  Area,Ready To Move,Whitefield,5,,3250,5,0,290
Super built-up  Area,19-Mar,Whitefield,2,Prtates,1216,2,1,66.48
Super built-up  Area,Ready To Move,Thirumenahalli,2,,1100,2,1,39.5
Super built-up  Area,Ready To Move,Thanisandra,3,Moity S,1743,3,2,93.25
Super built-up  Area,Ready To Move,Yelahanka,2,Pyikad ,1274,2,2,48.42
Super built-up  Area,Ready To Move,Lavelle Road,3,,2500,3,2,425
Super built-up  Area,Ready To Move,Mysore Road,3,SaodySa,1512,2,2,110
Super built-up  Area,Ready To Move,Dollars Colony,4,,3100,5,1,385
Super built-up  Area,Ready To Move,Cox Town,3,,1650,3,3,100
Built-up  Area,Ready To Move,Doddathoguru,3,SryleHo,1875,3,1,55
Built-up  Area,Ready To Move,Whitefield,3,,1350,3,2,54
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2,,1219,2,2,40
Plot  Area,Ready To Move,Goraguntepalya,4,,1200,4,1,150
Plot  Area,Ready To Move,Sarjapura - Attibele Road,3,,2400,3,3,85
Super built-up  Area,Ready To Move,Hormavu,2,,1141,2,1,44.4
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1151,2,1,43.1
Plot  Area,Ready To Move,Bommenahalli,3,Prana S,832,3,1,77
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Shthi S,915,2,1,38
Plot  Area,Ready To Move,Rajankunte,3,,3259,3,0,270
Super built-up  Area,22-Dec,Bannerghatta Road,2,PrarePa,1115,2,1,65.12
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,2072,4,2,139
Super built-up  Area,Ready To Move,Kaggadasapura,2,MCngeha,1200,2,2,53
Super built-up  Area,Ready To Move,Singasandra,2,Phhidx ,1300,2,2,65
Super built-up  Area,Ready To Move,Bellandur,2,Amivace,1457,2,2,85
Super built-up  Area,Ready To Move,Kannamangala,2,Marnaer,1262,2,2,55
Plot  Area,Ready To Move,BEML Layout,4,,1196,3,1,150
Super built-up  Area,18-Aug,Ananth Nagar,2,,900,2,2,22.5
Built-up  Area,Ready To Move,Attibele,1,Jae 1hu,420,1,1,17
Super built-up  Area,Ready To Move,Kanakapura,2,,1160,2,1,46.39
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1115,2,2,50
Built-up  Area,Ready To Move,JP Nagar,3,,1315,2,1,85.4
Built-up  Area,Ready To Move,Babusapalaya,2,,1500,2,2,57
Super built-up  Area,Ready To Move,HSR Layout,2,SruntFa,1127,2,1,68
Super built-up  Area,18-Feb,Kundalahalli,3,Dieldli,1397,3,2,104
Built-up  Area,20-Dec,Whitefield,2,,1173,2,1,60
Super built-up  Area,Ready To Move,Sompura,2,,1090,2,2,28
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,2720,5,,210
Super built-up  Area,18-May,Jakkur,2,BrdgeNo,1230,2,1,76
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4,,3200,3,3,190
Super built-up  Area,19-Dec,Sarjapur  Road,2,Daivon ,858,2,1,31.57
Super built-up  Area,21-Mar,Talaghattapura,3,Sodgere,1868,3,1,121
Super built-up  Area,Ready To Move,Uttarahalli,3,Baveles,1689.28,3,2,91.2
Built-up  Area,Ready To Move,Vishwapriya Layout,4,,600,3,2,73
Super built-up  Area,Ready To Move,Banashankari,3,,1425,3,3,49.88
Plot  Area,Ready To Move,Subramanyapura,6,,1200,6,2,170
Plot  Area,Ready To Move,Tindlu,2,,1350,2,1,100
Built-up  Area,Ready To Move,Channasandra,6,,4200,6,0,180
Super built-up  Area,Ready To Move,Uttarahalli,3,Ihnueut,1310,2,1,85
Super built-up  Area,18-Jun,Haralur Road,4,SNnia E,2805 - 3565,,,175
Super built-up  Area,Ready To Move,MLA Layout,2,,970,2,1,40
Super built-up  Area,18-May,Kundalahalli,3,Dieldli,1397,3,3,108
Super built-up  Area,18-Jul,Sarjapur,2,Vehes L,1157,2,1,40
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1125,2,1,61.2
Super built-up  Area,Ready To Move,Sonnenahalli,2,DSgam S,1157,2,1,42
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BModsen,1241,2,1,82
Super built-up  Area,19-Dec,Binny Pete,1,She 2rk,660,1,1,62
Built-up  Area,Ready To Move,Marathahalli,4,PueraRi,4000,4,3,220
Super built-up  Area,Ready To Move,Rajiv Nagar,4,PuoodSk,2340,4,1,148
Built-up  Area,Ready To Move,Venkatadri Layout,1,Raiyai ,596,1,1,42
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16,,10000,16,,550
Plot  Area,Ready To Move,Kyalasanahalli,4,UpowsMe,1200,4,3,110
Super built-up  Area,Ready To Move,Ambedkar Colony,3,RMcesa ,1910,3,1,190
Super built-up  Area,Ready To Move,Brookefield,2,CidgeKn,1139,2,2,80
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122,5,2,225
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2,,1033,2,2,28.41
Super built-up  Area,Ready To Move,Yeshwanthpur,2,IBityin,1168,2,2,64.08
Super built-up  Area,Ready To Move,Chandapura,2,,877,2,3,42
Built-up  Area,18-Jul,Electronics City Phase 1,2,Shitt S,1340,2,2,75
Built-up  Area,Ready To Move,B Narayanapura,3,ShentAp,1405,2,2,70
Super built-up  Area,Ready To Move,Siddapura,3,,1800,3,3,65
Built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1750,3,3,149
Super built-up  Area,Ready To Move,Motappa Layout,3,Puodse ,1360,2,1,65
Plot  Area,Ready To Move,Malleshwaram,3,,675,2,0,148
Super built-up  Area,19-Jun,Byrasandra,2,Sancy R,985,2,1,63
Super built-up  Area,16-Jul,Victoria Layout,2,,1300,2,1,129
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,2,150
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3,Srowsee,1490,2,3,88
Super built-up  Area,Ready To Move,Byagadadhenahalli,2,VBavaai,620,1,1,25
Super built-up  Area,19-Aug,Hormavu,2,,1130,2,1,42.3
Super built-up  Area,Ready To Move,Yelachenahalli,2,BaiseBa,1080,2,2,55
Built-up  Area,Ready To Move,Singasandra,4,,3126,4,,120
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1410,2,3,52.17
Super built-up  Area,Ready To Move,Bommanahalli,3,,1375,3,2,59
Super built-up  Area,Ready To Move,Hennur Road,3,Maity W,1290,2,1,94.5
Super built-up  Area,19-Mar,Hosa Road,3,Skume R,1318,2,1,85.28
Super built-up  Area,Ready To Move,Electronic City,2,Prarkun,1128,2,1,68
Plot  Area,Ready To Move,Meenakunte,4,Sreat R,4428,4,2,255
Super built-up  Area,21-Mar,Kanakpura Road,2,GolusLi,1051,2,2,56.74
Plot  Area,Ready To Move,Kengeri,3,,3500,5,0,275
Plot  Area,Ready To Move,Kannamangala,4,MIalerd,2400,4,1,130
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1327,2,3,85
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,2912,6,2,210
Super built-up  Area,Ready To Move,Basapura,2,Jaangm ,1301,2,2,55
Super built-up  Area,Ready To Move,Thippasandra,1,,650,1,0,30
Plot  Area,18-Jul,Varthur,3,,1200,3,1,67.75
Super built-up  Area,Ready To Move,Banagiri Nagar,3,,1500,2,2,89.99
Plot  Area,Ready To Move,Kumara Park,4,,2700,6,,675
Plot  Area,Ready To Move,Nagadevanahalli,4,,1350,4,2,145
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,19-Nov,Sarjapur  Road,2,AsastDe,984,2,1,45.91
Super built-up  Area,22-May,Jakkur,3,SoineC ,1819.18,3,1,160
Built-up  Area,Ready To Move,Nagarbhavi,1,,900,1,0,175
Super built-up  Area,18-Apr,Hebbal,3,Magiaya,1355,3,1,83.87
Super built-up  Area,Ready To Move,Sarakki Nagar,3,Sowerew,2145,4,1,270
Super built-up  Area,Ready To Move,Malleshwaram,3,Sariaat,2475,4,3,300
Super built-up  Area,18-Aug,Kaggadasapura,2,,1118,2,0,30
Super built-up  Area,Ready To Move,Roopena Agrahara,1,,910,1,1,42
Super built-up  Area,18-May,Madiwala,3,,1250,3,2,39
Super built-up  Area,18-Mar,Hosakerehalli,2,SoageHe,1304,2,3,100
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1615,3,2,58
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Contsci,1400,2,2,68
Super built-up  Area,Ready To Move,CV Raman Nagar,2,Villeka,1070,2,2,47.5
Super built-up  Area,17-Nov,Hebbal,3,Emceske,3500,3,3,395
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1132,2,1,89.37
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3,,2000,3,2,85
Plot  Area,Ready To Move,Hebbal,7,,2400,5,1,550
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1,DShtsow,794,1,2,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1090,2,2,43.59
Super built-up  Area,Ready To Move,Gottigere,3,Pridei ,1500,3,2,70
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,Prhtsok,2059,3,2,225
Super built-up  Area,21-Jan,Kanakpura Road,1,PrarePa,525,1,1,30
Super built-up  Area,18-May,Bhoganhalli,2,Rosha I,1447,2,1,75.97
Super built-up  Area,20-Dec,Whitefield,2,VaarkMe,1269,2,1,75
Plot  Area,18-Apr,KR Layout,4,,4800,4,0,700
Super built-up  Area,Ready To Move,Kanakpura Road,2,Shiew T,1070,2,2,37.45
Super built-up  Area,Ready To Move,Talaghattapura,2,,1150,2,0,28
Super built-up  Area,Ready To Move,Marathahalli,2,,1208,2,2,70
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,Cimeshw,1185,2,1,45.5
Plot  Area,Ready To Move,Laggere,3,,1200,3,1,130
Super built-up  Area,Ready To Move,Anekal,2,,888,2,1,34
Super built-up  Area,18-Aug,Chandapura,2,SunceEs,1015,2,2,25.88
Built-up  Area,Ready To Move,Celebrity Paradise Layout,1,,532,1,1,22.49
Super built-up  Area,Ready To Move,St Thomas Town,3,,1060,3,1,62
Built-up  Area,Ready To Move,Electronic City,1,,700,1,1,35
Super built-up  Area,Ready To Move,Ckikkakammana Halli,2,Radhian,902,2,2,42
Plot  Area,Ready To Move,Banashankari 2nd Stage,6,,600,3,3,95
Super built-up  Area,Ready To Move,Uttarahalli,2,,1175,2,1,47
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,1365,2,1,122
Super built-up  Area,Ready To Move,Doddathoguru,2,Hincy R,984,2,1,51
Plot  Area,Ready To Move,Hebbal,4,,2700,2,2,100
Super built-up  Area,Ready To Move,Jalahalli East,3,,1475,3,2,96
Super built-up  Area,Ready To Move,Haralur Road,2,NDionas,1300,2,2,79
Plot  Area,Ready To Move,5th Block Hbr Layout,5,,1200,6,1,220
Built-up  Area,Ready To Move,Babusapalaya,3,,1453,2,2,43.59
Super built-up  Area,Ready To Move,Munivenkatppa Layout,2,SNiew L,1550,2,3,160
Built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1666,3,,95
Plot  Area,Ready To Move,Akshaya Nagar,4,,1410,4,2,160
Plot  Area,18-Mar,Yelahanka,4,Nileyap,4025,5,3,800
Super built-up  Area,Ready To Move,Murugeshpalya,3,Vestas ,1845,3,3,91
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,Puownm ,1676,3,3,52
Super built-up  Area,20-Dec,Uttarahalli,2,PrdgeLa,1137,2,1,63
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,70.5
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,FoGemna,1374,2,2,70
Built-up  Area,Ready To Move,Judicial Layout,3,,1700,3,2,155
Plot  Area,Ready To Move,Whitefield,5,,3227,5,0,250
Super built-up  Area,Ready To Move,Ferrar Nagar,4,Cestama,2145,4,,125
Plot  Area,Ready To Move,Koramangala,4,,2400,6,3,600
Super built-up  Area,18-May,Kasavanhalli,3,,2170,3,2,151
Built-up  Area,Ready To Move,Bank Of Baroda Colony,2,,1080,2,1,55
Built-up  Area,Ready To Move,Electronic City Phase II,3,SNbay G,1790,3,3,100
Super built-up  Area,Ready To Move,Doddathoguru,1,,550,1,1,17
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1270,2,2,50.79
Built-up  Area,Ready To Move,Somasundara Palya,2,Ahhtser,1033,2,2,48
Built-up  Area,Ready To Move,Kamala Nagar,2,,1000,2,1,80
Super built-up  Area,19-Dec,Binny Pete,4,She 2rk,2940,6,2,280
Super built-up  Area,Ready To Move,Kumarapalli,2,BMmesHo,1240,2,2,52.6
Plot  Area,Ready To Move,Kasturi Nagar,5,,1650,5,1,450
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,39
Built-up  Area,15-Jun,Outer Ring Road East,3,SRzonhu,1500,2,0,97
Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1730,3,3,139
Super built-up  Area,Ready To Move,Kasavanhalli,3,,1915,3,3,80
Super built-up  Area,Ready To Move,Whitefield,3,BainePr,1545,3,2,79
Super built-up  Area,19-Mar,Marenahalli,3,,1865,4,2,140
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,,1150,2,2,40
Super built-up  Area,18-Aug,HAL 3rd Stage,2,,1200,2,2,49
Built-up  Area,Ready To Move,Kengeri,2,,963,2,2,40
Plot  Area,Ready To Move,Marsur,3,AreraRe,1200,3,1,120
Super built-up  Area,Ready To Move,Basavangudi,4,,2600,4,3,260
Built-up  Area,Ready To Move,Kaikondrahalli,4,Srsica ,1700,4,,108
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1682,3,1,120
Built-up  Area,Ready To Move,Yelahanka,3,Rarthne,1371,2,2,65
Super built-up  Area,21-Mar,Hennur Road,2,,901,2,1,49.5
Plot  Area,Ready To Move,Vishwapriya Layout,7,,600,7,0,73
Super built-up  Area,Ready To Move,Ambalipura,3,SJarkte,1730,3,1,120
Plot  Area,Ready To Move,Konanakunte,4,,1200,4,0,125
Super built-up  Area,Ready To Move,EPIP Zone,3,SJlynro,1500,3,3,102
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Maana E,3785,6,,280
Built-up  Area,Ready To Move,Nagawara Junction,4,,3500,4,2,245
Carpet  Area,Ready To Move,Lingarajapuram,2,Glnetch,1203,2,1,59.86
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1357,2,2,54
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3,Suensda,1600,3,2,76
Built-up  Area,Ready To Move,Yelahanka New Town,1,KHatsFl,350,1,1,13.5
Super built-up  Area,Ready To Move,Varthur,3,MKllei ,1665,3,1,53
Plot  Area,Ready To Move,Ramamurthy Nagar,3,,1400,3,3,200
Super built-up  Area,Ready To Move,Sarjapur  Road,1,,835,1,1,46.95
Plot  Area,Ready To Move,Chandra Layout,2,,815,3,2,160
Super built-up  Area,Ready To Move,Haralur Road,3,NDionas,1444,2,1,80
Super built-up  Area,Ready To Move,Kanakapura,2,,1277,2,2,55
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,94.71
Super built-up  Area,Ready To Move,Maithri Layout,2,,1134,2,1,40
Super built-up  Area,Ready To Move,Vasanthapura,2,,995,2,1,34.82
Super built-up  Area,Ready To Move,Old Madras Road,3,Brica E,2760,5,2,157
Built-up  Area,Ready To Move,Marathahalli,2,PueraRi,1325,1,1,92
Built-up  Area,Ready To Move,Kothanur,6,,4000,6,,150
Built-up  Area,Ready To Move,Marathahalli,3,,1525,3,2,90
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar 5th Stage,3,,1320,2,2,73
Super built-up  Area,Ready To Move,Electronics City Phase 1,1,SrnesSr,650,1,1,23
Built-up  Area,Ready To Move,Old Airport Road,3,,1858,2,1,167
Super built-up  Area,21-Aug,Electronic City,2,,1150,2,1,38
Super built-up  Area,Ready To Move,Electronic City Phase II,2,MJtroty,769,2,1,40
Super built-up  Area,Ready To Move,Electronic City,3,Prarkun,1571,3,2,105
Super built-up  Area,Ready To Move,Hennur Road,3,Maity W,1445,3,1,86.56
Super built-up  Area,Ready To Move,Hosur Road,3,Saageat,1590,2,2,135
Super built-up  Area,Ready To Move,Bommasandra,2,Niway G,902,2,2,49
Plot  Area,18-Mar,Sarjapur,3,,2238,3,1,140
Built-up  Area,18-Dec,Electronic City,2,,1090,2,1,31.49
Built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1712,3,3,82
Built-up  Area,Ready To Move,Haralur Road,2,,1088,2,1,68
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1575,3,3,63.1
Plot  Area,Ready To Move,Nanjappa Garden,6,,2150,6,3,205
Super built-up  Area,Ready To Move,Kundalahalli,3,Roima A,1920,3,2,150
Plot  Area,Ready To Move,Margondanahalli,2,,1000,2,0,57
Super built-up  Area,18-Oct,Chennammana Kere,2,,1100,2,2,56.1
Super built-up  Area,Ready To Move,Electronic City,2,Daives ,1089,2,2,45
Built-up  Area,Ready To Move,Horamavu Agara,2,Maows M,1106,2,1,43.09
Super built-up  Area,18-Dec,Kengeri,2,,927,2,2,37
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,58
Built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,923,1,1,45.69
Plot  Area,18-Aug,Sarjapur  Road,3,,2900,3,2,285
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1175,2,2,75
Built-up  Area,Ready To Move,Thubarahalli,2,Soowsa ,975,2,1,55
Super built-up  Area,Ready To Move,Hebbal,3,Kacesh ,2400,4,1,180
Super built-up  Area,Ready To Move,Subramanyapura,3,Prldsri,1330,3,2,72
Super built-up  Area,20-Dec,Thanisandra,2,Bhe 2ko,1183,2,1,59.74
Super built-up  Area,Ready To Move,Harlur,3,,1758,3,2,133
Plot  Area,Ready To Move,Nagarbhavi,3,,1200,3,2,265
Super built-up  Area,19-Dec,Hebbal,3,Magiaya,1255,2,1,77.68
Plot  Area,Ready To Move,Nagadevanahalli,3,,600,4,2,110
Built-up  Area,Ready To Move,Pai Layout,2,SantsAp,1100,2,2,50
Super built-up  Area,18-Dec,Ramamurthy Nagar,2,Vaharvi,1170,2,2,46.8
Built-up  Area,Ready To Move,Vayunandana Layout,5,,2400,5,2,120
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,3,51.77
Built-up  Area,17-Dec,Hebbal,2,Mahosya,1420,2,2,107
Plot  Area,Ready To Move,Geetanjali Layout,4,,1200,4,2,300
Plot  Area,Ready To Move,7th Phase JP Nagar,6,,1045,6,3,160
Super built-up  Area,19-Jan,Kanakpura Road,3,PrityFa,1591,3,1,115
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,2,120
Plot  Area,Ready To Move,Kenchenhalli,2,,675,3,1,52
Super built-up  Area,19-Dec,Hoodi,2,Caycend,1055,2,1,57.63
Super built-up  Area,Ready To Move,Iblur Village,3,Sonet G,1918,3,2,129
Super built-up  Area,18-Jan,Sarjapur  Road,2,Kelia R,1280,2,1,76
Super built-up  Area,Ready To Move,Nagarbhavi,3,DSdhiSa,1560,3,3,66
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1145,2,2,49.5
Super built-up  Area,Ready To Move,Talaghattapura,3,Sodgere,2106,3,2,126
Super built-up  Area,Ready To Move,"EPIP AREA, WHITEFIELD",3,,1801,3,2,139
Plot  Area,Ready To Move,Seegehalli,5,,1200,5,3,120
Super built-up  Area,Ready To Move,Rajaji Nagar,2,PhestOn,1718,3,2,288
Super built-up  Area,20-Jun,Whitefield,3,Somns T,1306,3,2,54.65
Super built-up  Area,19-Jun,Hebbal,2,Raard B,1320,2,1,92
Built-up  Area,Ready To Move,1st Stage Domlur,3,,1350,2,2,65
Built-up  Area,Ready To Move,"RMV extension stage 2, rmv extension",4,,2990,4,,324
Built-up  Area,Ready To Move,Kalyan nagar,4,AHavenc,3800,5,3,300
Super built-up  Area,Ready To Move,Bannerghatta Road,3,DSnjh S,1344,2,1,42
Super built-up  Area,Ready To Move,Bannerghatta Road,3,,1893,3,2,100
Super built-up  Area,Ready To Move,Chandapura,3,,1107,2,1,43
Plot  Area,Ready To Move,R.T. Nagar,9,,1200,10,,180
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1190,2,1,75
Built-up  Area,Ready To Move,Whitefield,2,Pranthi,1000,2,1,35
Plot  Area,Ready To Move,Kalhalli,2,Keersto,2400,2,1,160
Super built-up  Area,Ready To Move,Kumaraswami Layout,2,Mania G,1000,2,1,48.5
Super built-up  Area,Ready To Move,Jalahalli,3,Tahtsla,2113,3,2,155
Built-up  Area,Ready To Move,KR Puram,2,,1100,2,1,46
Plot  Area,Ready To Move,Sector 2 HSR Layout,5,,1200,4,1,160
Super built-up  Area,Ready To Move,Harlur,4,Zonce E,1884,4,2,120
Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110,2,1,40
Super built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1027,2,2,43
Super built-up  Area,18-May,Tavarekere,3,,1250,3,2,40
Built-up  Area,Ready To Move,Sarjapur  Road,3,,1470,3,0,62
Built-up  Area,18-May,Kamakshipalya,2,,1150,2,1,75
Plot  Area,Ready To Move,Hadosiddapura,3,JRichee,1200,3,2,165
Super built-up  Area,18-Aug,Kudlu Gate,1,Sanzaat,703,1,1,52
Super built-up  Area,Ready To Move,Vijaya Bank Colony,3,,1400,2,2,62
Super built-up  Area,Ready To Move,Bellandur,2,SRageri,1195,2,2,51
Super built-up  Area,Ready To Move,Narayanapura,2,Veodsar,1302,2,1,69.1
